9,22,49
13,6,49
16,8,49
21,17,49
18,12,50
15,18,50
24,9,49
21,11,49
17,8,49
19,12,49
10,14,49
10,4,50
8,22,49
5,11,49
7,3,49
12,6,49
18,8,49
16,12,50
15,21,50
14,18,50
6,9,50
7,7,50
8,13,49
19,8,49
13,20,50
17,12,50
5,17,49
13,19,49
24,3,49
11,22,49
5,12,49
17,17,49
11,13,50
24,7,49
21,8,49
13,18,49
23,12,50
8,14,49
16,17,49
6,3,49
12,19,49
5,8,49
10,22,49
19,17,49
19,11,49
10,13,49
23,8,50
8,5,50
21,12,49
24,10,49
18,17,49
8,16,49
13,22,49
20,3,49
11,19,49
9,6,49
21,7,49
24,8,49
5,10,49
22,10,50
21,3,49
13,13,50
11,21,50
24,12,49
21,10,49
7,11,50
12,22,49
14,4,50
22,3,49
10,15,49
19,9,49
10,19,49
5,3,49
8,6,49
9,20,50
5,7,49
23,3,49
12,13,50
18,9,71
10,16,49
19,10,49
24,11,49
21,9,49
9,19,49
11,6,49
15,22,49
16,3,49
24,17,49
16,7,49
15,13,50
17,3,49
11,16,71
8,19,49
8,15,49
10,6,49
14,22,49
18,3,49
6,17,50
12,5,50
14,13,50
19,3,49
5,9,49
8,18,49
23,4,71
5,5,49
19,22,49
14,7,50
18,13,50
24,20,49
10,17,49
7,19,50
7,15,50
18,22,49
14,3,49
19,13,49
10,11,49
8,8,49
5,4,49
21,14,49
24,16,49
17,22,49
15,7,50
20,5,50
16,13,50
5,14,49
11,17,49
22,14,50
16,22,49
15,3,49
17,13,50
24,6,49
8,12,49
5,13,49
23,22,49
8,17,49
5,22,49
8,11,49
10,8,49
22,22,49
18,4,50
12,3,49
11,12,50
24,21,49
16,5,50
13,7,49
24,18,49
21,22,49
21,13,49
24,19,49
24,15,49
11,8,49
20,22,49
13,3,49
19,14,49
10,12,49
6,21,71
6,13,50
22,18,50
8,9,49
5,18,49
19,6,49
17,20,50
13,12,50
10,3,49
5,19,49
5,15,49
12,8,49
18,6,49
6,22,49
23,21,71
10,10,49
19,16,49
24,13,49
21,15,49
21,19,49
17,6,49
5,21,49
12,12,50
18,16,71
11,3,49
24,22,49
21,18,49
16,6,49
13,8,49
20,19,49
24,14,49
21,16,49
12,17,49
10,9,49
19,15,49
19,19,49
8,7,49
15,12,50
21,20,50
22,6,50
6,4,71
7,22,49
18,19,49
8,3,49
5,6,49
19,21,50
23,16,50
5,20,49
8,10,49
13,17,49
11,9,71
17,19,49
24,5,49
21,6,49
16,18,49
14,12,50
5,16,49
20,6,49
16,19,49
9,3,49
24,4,49
